Cryptocurrency,Amount,Transaction Type,Confirmed At
USDC,-2.00000000,Trade,2021-04-05 00:47:30
LTC,0.00981073,Trade,2021-04-05 00:47:30
USDC,-2.00000000,Trade,2021-04-04 21:59:30
USDT,1.97977700,Trade,2021-04-04 21:59:30
BUSD,-2.00000000,Trade,2021-04-04 21:44:31
LINK,0.06468272,Trade,2021-04-04 21:44:31
GUSD,-5.00000000,Trade,2021-04-02 01:53:24
PAXG,0.00284464,Trade,2021-04-02 01:53:24
USDC,-5.00000000,Trade,2021-04-01 23:58:08
ETH,0.00251525,Trade,2021-04-01 23:58:08
PAX,-5.00000000,Trade,2021-04-01 18:26:08
BTC,0.00008484,Trade,2021-04-01 18:26:08
LTC,-0.30000000,Trade,2021-04-01 03:26:11
BUSD,58.69613790,Trade,2021-04-01 03:26:11
LTC,0.29348324,Deposit,2021-04-01 02:42:00
PAX,11.34080164,Interest Payment,2021-03-31 23:59:59
USDC,-2.00000000,Trade,2021-03-28 22:13:26
USDT,1.98144000,Trade,2021-03-28 22:13:26
BUSD,-2.00000000,Trade,2021-03-28 21:54:26
LINK,0.07484626,Trade,2021-03-28 21:54:26
USDC,-2.00000000,Trade,2021-03-28 14:11:30
LTC,0.01078454,Trade,2021-03-28 14:11:30
USDC,-2.00000000,Trade,2021-03-21 23:53:47
USDT,1.98047000,Trade,2021-03-21 23:53:47
USDC,-2.00000000,Trade,2021-03-21 22:32:03
LTC,0.01002131,Trade,2021-03-21 22:32:03
BUSD,-2.00000000,Trade,2021-03-21 19:04:51
LINK,0.06624700,Trade,2021-03-21 19:04:51
PAX,-5.00000000,Trade,2021-03-15 19:29:42
BTC,0.00008768,Trade,2021-03-15 19:29:42
GUSD,-5.00000000,Trade,2021-03-15 17:30:59
PAXG,0.00285295,Trade,2021-03-15 17:30:59
USDC,-5.00000000,Trade,2021-03-15 14:32:42
ETH,0.00274977,Trade,2021-03-15 14:32:42
BUSD,-2.00000000,Trade,2021-03-15 01:55:28
LINK,0.06842436,Trade,2021-03-15 01:55:28
USDC,-2.00000000,Trade,2021-03-14 23:21:28
USDT,1.98052900,Trade,2021-03-14 23:21:28
USDC,-2.00000000,Trade,2021-03-14 19:40:33
LTC,0.00903725,Trade,2021-03-14 19:40:33
USDC,-2.00000000,Trade,2021-03-08 00:21:52
USDT,1.98060800,Trade,2021-03-08 00:21:52
USDC,-2.00000000,Trade,2021-03-07 10:39:28
LTC,0.01051027,Trade,2021-03-07 10:39:28
BUSD,-2.00000000,Trade,2021-03-07 10:38:17
LINK,0.06926235,Trade,2021-03-07 10:38:17
BUSD,-10.00000000,Trade,2021-03-04 06:19:09
USDT,9.90086300,Trade,2021-03-04 06:19:09
LTC,-0.30000000,Trade,2021-03-03 13:47:42
BUSD,56.08036080,Trade,2021-03-03 13:47:42
LTC,0.30735502,Deposit,2021-03-03 12:59:20
PAX,-10.00000000,Trade,2021-03-03 04:48:08
BUSD,10.00000000,Trade,2021-03-03 04:48:08
BUSD,-5.00000000,Trade,2021-03-02 18:17:53
LINK,0.17125626,Trade,2021-03-02 18:17:53
PAX,-5.00000000,Trade,2021-03-02 18:16:45
BUSD,5.00000000,Trade,2021-03-02 18:16:45
PAX,-5.00000000,Trade,2021-03-02 00:23:24
BTC,0.00009888,Trade,2021-03-02 00:23:24
GUSD,-5.00000000,Trade,2021-03-01 23:58:08
PAXG,0.00286011,Trade,2021-03-01 23:58:08
USDC,-5.00000000,Trade,2021-03-01 15:36:58
LTC,0.02836487,Trade,2021-03-01 15:36:58
USDC,-5.00000000,Trade,2021-03-01 15:14:49
ETH,0.00320882,Trade,2021-03-01 15:14:49
PAX,8.02181440,Interest Payment,2021-02-28 23:59:59
USDC,-2.00000000,Trade,2021-02-28 08:03:40
USDT,1.97944200,Trade,2021-02-28 08:03:40
PAX,-5.00000000,Trade,2021-02-28 07:28:16
BTC,0.00011075,Trade,2021-02-28 07:28:16
PAX,-5.00000000,Trade,2021-02-28 07:27:54
BTC,0.00011080,Trade,2021-02-28 07:27:54
GUSD,-5.00000000,Trade,2021-02-28 07:27:18
PAXG,0.00283877,Trade,2021-02-28 07:27:18
GUSD,-5.00000000,Trade,2021-02-28 07:27:02
PAXG,0.00283837,Trade,2021-02-28 07:27:02
USDC,-5.00000000,Trade,2021-02-28 07:26:23
ETH,0.00365869,Trade,2021-02-28 07:26:23
USDC,-5.00000000,Trade,2021-02-28 07:25:58
ETH,0.00365588,Trade,2021-02-28 07:25:58
USDC,-5.00000000,Trade,2021-02-28 07:25:03
LTC,0.03099421,Trade,2021-02-28 07:25:03
USDC,-5.00000000,Trade,2021-02-28 07:24:34
LTC,0.03100197,Trade,2021-02-28 07:24:34
BTC,-0.00106025,Trade,2021-02-27 06:20:26
PAX,50.00000000,Trade,2021-02-27 06:20:26
ETH,-0.03366943,Trade,2021-02-27 06:20:05
USDC,50.00000000,Trade,2021-02-27 06:20:05
LTC,-0.28686462,Trade,2021-02-27 06:19:42
USDC,50.00000000,Trade,2021-02-27 06:19:42
BTC,-0.01058067,Trade,2021-02-27 06:12:02
PAX,500.00000000,Trade,2021-02-27 06:12:02
USDC,-10.00000000,Trade,2021-02-23 11:57:06
LTC,0.05959706,Trade,2021-02-23 11:57:06
USDC,-10.00000000,Trade,2021-02-23 11:56:26
ETH,0.00696168,Trade,2021-02-23 11:56:26
PAX,-10.00000000,Trade,2021-02-23 11:56:04
BTC,0.00021613,Trade,2021-02-23 11:56:04
PAX,-10.00000000,Trade,2021-02-23 07:15:26
BTC,0.00019935,Trade,2021-02-23 07:15:26
USDC,-10.00000000,Trade,2021-02-23 07:15:02
ETH,0.00622600,Trade,2021-02-23 07:15:02
USDC,-10.00000000,Trade,2021-02-23 07:08:37
LTC,0.05210630,Trade,2021-02-23 07:08:37
USDC,-10.00000000,Trade,2021-02-16 00:20:07
ETH,0.00559530,Trade,2021-02-16 00:20:07
USDC,-10.00000000,Trade,2021-02-15 21:01:06
LTC,0.04538408,Trade,2021-02-15 21:01:06
GUSD,-10.00000000,Trade,2021-02-15 20:31:06
PAXG,0.00538772,Trade,2021-02-15 20:31:06
PAX,-10.00000000,Trade,2021-02-15 20:29:06
BTC,0.00020319,Trade,2021-02-15 20:29:06
USDC,-10.00000000,Trade,2021-02-07 08:53:22
PAX,10.00000000,Trade,2021-02-07 08:53:22
USDC,-10.00000000,Trade,2021-02-07 08:52:52
GUSD,10.00000000,Trade,2021-02-07 08:52:52
USDC,-10.00000000,Trade,2021-02-07 08:52:26
USDT,9.89540500,Trade,2021-02-07 08:52:26
USDT,-7.05965500,Trade,2021-02-07 08:51:42
PAX,7.00000000,Trade,2021-02-07 08:51:42
USDC,50.00000000,Deposit,2021-02-02 18:06:48
USDT,7.04435244,Interest Payment,2021-01-31 23:59:59
USDC,-10.00000000,Trade,2021-01-15 22:05:01
LTC,0.07018400,Trade,2021-01-15 22:05:01
USDC,-10.00000000,Trade,2021-01-15 19:25:38
ETH,0.00855847,Trade,2021-01-15 19:25:38
GUSD,-10.00000000,Trade,2021-01-15 19:14:38
PAXG,0.00535152,Trade,2021-01-15 19:14:38
PAX,-10.00000000,Trade,2021-01-15 17:16:38
BTC,0.00027667,Trade,2021-01-15 17:16:38
USDT,-26.00000000,Withdrawal,2021-01-05 18:59:47
PAX,-10.00000000,Trade,2021-01-01 21:56:29
BTC,0.00033819,Trade,2021-01-01 21:56:29
USDC,-10.00000000,Trade,2021-01-01 19:55:28
ETH,0.01359679,Trade,2021-01-01 19:55:28
GUSD,-10.00000000,Trade,2021-01-01 19:18:09
PAXG,0.00510088,Trade,2021-01-01 19:18:09
USDC,-10.00000000,Trade,2021-01-01 18:22:31
LTC,0.07899306,Trade,2021-01-01 18:22:31
USDT,5.59559652,Interest Payment,2020-12-31 23:59:59
USDC,-30.00000000,Trade,2020-12-25 10:15:13
GUSD,30.00000000,Trade,2020-12-25 10:15:13
USDC,-30.00000000,Trade,2020-12-25 10:14:04
PAX,30.00000000,Trade,2020-12-25 10:14:04
USDC,100.00000000,Deposit,2020-12-25 10:02:24
PAX,-40.00000000,Trade,2020-12-19 07:26:06
USDC,40.00000000,Trade,2020-12-19 07:26:06
GUSD,-10.00000000,Trade,2020-12-19 07:24:29
PAXG,0.00521507,Trade,2020-12-19 07:24:29
USDC,-10.00000000,Trade,2020-12-19 07:22:55
LTC,0.09272326,Trade,2020-12-19 07:22:55
USDC,-10.00000000,Trade,2020-12-19 07:20:32
ETH,0.01520653,Trade,2020-12-19 07:20:32
USDC,-10.00000000,Trade,2020-12-17 12:29:01
USDT,9.90708300,Trade,2020-12-17 12:29:01
USDC,-10.00000000,Trade,2020-12-17 12:27:44
GUSD,10.00000000,Trade,2020-12-17 12:27:44
USDC,-40.00000000,Trade,2020-12-17 12:26:41
PAX,40.00000000,Trade,2020-12-17 12:26:41
USDC,100.00000000,Deposit,2020-12-17 10:48:50
BTC,0.00001590,Bonus Payment,2020-12-15 23:59:59
USDC,-10.00000000,Trade,2020-12-15 22:51:00
ETH,0.01683717,Trade,2020-12-15 22:51:00
USDC,-10.00000000,Trade,2020-12-15 21:05:13
