,Token,Amount,Type,Date
0,USDC,-2.0,Trade,2021-04-05 00:47:30
1,LTC,0.00981073,Trade,2021-04-05 00:47:30
2,USDC,-2.0,Trade,2021-04-04 21:59:30
3,USDT,1.979777,Trade,2021-04-04 21:59:30
4,BUSD,-2.0,Trade,2021-04-04 21:44:31
5,LINK,0.06468272,Trade,2021-04-04 21:44:31
6,GUSD,-5.0,Trade,2021-04-02 01:53:24
7,PAXG,0.00284464,Trade,2021-04-02 01:53:24
8,USDC,-5.0,Trade,2021-04-01 23:58:08
9,ETH,0.00251525,Trade,2021-04-01 23:58:08
10,PAX,-5.0,Trade,2021-04-01 18:26:08
11,BTC,8.484e-05,Trade,2021-04-01 18:26:08
12,LTC,-0.3,Trade,2021-04-01 03:26:11
13,BUSD,58.6961379,Trade,2021-04-01 03:26:11
14,LTC,0.29348324,Deposit,2021-04-01 02:42:00
15,PAX,11.34080164,Interest Payment,2021-03-31 23:59:59
16,USDC,-2.0,Trade,2021-03-28 22:13:26
17,USDT,1.98144,Trade,2021-03-28 22:13:26
18,BUSD,-2.0,Trade,2021-03-28 21:54:26
19,LINK,0.07484626,Trade,2021-03-28 21:54:26
20,USDC,-2.0,Trade,2021-03-28 14:11:30
21,LTC,0.01078454,Trade,2021-03-28 14:11:30
22,USDC,-2.0,Trade,2021-03-21 23:53:47
23,USDT,1.98047,Trade,2021-03-21 23:53:47
24,USDC,-2.0,Trade,2021-03-21 22:32:03
25,LTC,0.01002131,Trade,2021-03-21 22:32:03
26,BUSD,-2.0,Trade,2021-03-21 19:04:51
27,LINK,0.066247,Trade,2021-03-21 19:04:51
28,PAX,-5.0,Trade,2021-03-15 19:29:42
29,BTC,8.768e-05,Trade,2021-03-15 19:29:42
30,GUSD,-5.0,Trade,2021-03-15 17:30:59
31,PAXG,0.00285295,Trade,2021-03-15 17:30:59
32,USDC,-5.0,Trade,2021-03-15 14:32:42
33,ETH,0.00274977,Trade,2021-03-15 14:32:42
34,BUSD,-2.0,Trade,2021-03-15 01:55:28
35,LINK,0.06842436,Trade,2021-03-15 01:55:28
36,USDC,-2.0,Trade,2021-03-14 23:21:28
37,USDT,1.980529,Trade,2021-03-14 23:21:28
38,USDC,-2.0,Trade,2021-03-14 19:40:33
39,LTC,0.00903725,Trade,2021-03-14 19:40:33
40,USDC,-2.0,Trade,2021-03-08 00:21:52
41,USDT,1.980608,Trade,2021-03-08 00:21:52
42,USDC,-2.0,Trade,2021-03-07 10:39:28
43,LTC,0.01051027,Trade,2021-03-07 10:39:28
44,BUSD,-2.0,Trade,2021-03-07 10:38:17
45,LINK,0.06926235,Trade,2021-03-07 10:38:17
46,BUSD,-10.0,Trade,2021-03-04 06:19:09
47,USDT,9.900863,Trade,2021-03-04 06:19:09
48,LTC,-0.3,Trade,2021-03-03 13:47:42
49,BUSD,56.0803608,Trade,2021-03-03 13:47:42
50,LTC,0.30735502,Deposit,2021-03-03 12:59:20
51,PAX,-10.0,Trade,2021-03-03 04:48:08
52,BUSD,10.0,Trade,2021-03-03 04:48:08
53,BUSD,-5.0,Trade,2021-03-02 18:17:53
54,LINK,0.17125626,Trade,2021-03-02 18:17:53
55,PAX,-5.0,Trade,2021-03-02 18:16:45
56,BUSD,5.0,Trade,2021-03-02 18:16:45
57,PAX,-5.0,Trade,2021-03-02 00:23:24
58,BTC,9.888e-05,Trade,2021-03-02 00:23:24
59,GUSD,-5.0,Trade,2021-03-01 23:58:08
60,PAXG,0.00286011,Trade,2021-03-01 23:58:08
61,USDC,-5.0,Trade,2021-03-01 15:36:58
62,LTC,0.02836487,Trade,2021-03-01 15:36:58
63,USDC,-5.0,Trade,2021-03-01 15:14:49
64,ETH,0.00320882,Trade,2021-03-01 15:14:49
65,PAX,8.0218144,Interest Payment,2021-02-28 23:59:59
66,USDC,-2.0,Trade,2021-02-28 08:03:40
67,USDT,1.979442,Trade,2021-02-28 08:03:40
68,PAX,-5.0,Trade,2021-02-28 07:28:16
69,BTC,0.00011075,Trade,2021-02-28 07:28:16
70,PAX,-5.0,Trade,2021-02-28 07:27:54
71,BTC,0.0001108,Trade,2021-02-28 07:27:54
72,GUSD,-5.0,Trade,2021-02-28 07:27:18
73,PAXG,0.00283877,Trade,2021-02-28 07:27:18
74,GUSD,-5.0,Trade,2021-02-28 07:27:02
75,PAXG,0.00283837,Trade,2021-02-28 07:27:02
76,USDC,-5.0,Trade,2021-02-28 07:26:23
77,ETH,0.00365869,Trade,2021-02-28 07:26:23
78,USDC,-5.0,Trade,2021-02-28 07:25:58
79,ETH,0.00365588,Trade,2021-02-28 07:25:58
80,USDC,-5.0,Trade,2021-02-28 07:25:03
81,LTC,0.03099421,Trade,2021-02-28 07:25:03
82,USDC,-5.0,Trade,2021-02-28 07:24:34
83,LTC,0.03100197,Trade,2021-02-28 07:24:34
84,BTC,-0.00106025,Trade,2021-02-27 06:20:26
85,PAX,50.0,Trade,2021-02-27 06:20:26
86,ETH,-0.03366943,Trade,2021-02-27 06:20:05
87,USDC,50.0,Trade,2021-02-27 06:20:05
88,LTC,-0.28686462,Trade,2021-02-27 06:19:42
89,USDC,50.0,Trade,2021-02-27 06:19:42
90,BTC,-0.01058067,Trade,2021-02-27 06:12:02
91,PAX,500.0,Trade,2021-02-27 06:12:02
92,USDC,-10.0,Trade,2021-02-23 11:57:06
93,LTC,0.05959706,Trade,2021-02-23 11:57:06
94,USDC,-10.0,Trade,2021-02-23 11:56:26
95,ETH,0.00696168,Trade,2021-02-23 11:56:26
96,PAX,-10.0,Trade,2021-02-23 11:56:04
97,BTC,0.00021613,Trade,2021-02-23 11:56:04
98,PAX,-10.0,Trade,2021-02-23 07:15:26
99,BTC,0.00019935,Trade,2021-02-23 07:15:26
100,USDC,-10.0,Trade,2021-02-23 07:15:02
101,ETH,0.006226,Trade,2021-02-23 07:15:02
102,USDC,-10.0,Trade,2021-02-23 07:08:37
103,LTC,0.0521063,Trade,2021-02-23 07:08:37
104,USDC,-10.0,Trade,2021-02-16 00:20:07
105,ETH,0.0055953,Trade,2021-02-16 00:20:07
106,USDC,-10.0,Trade,2021-02-15 21:01:06
107,LTC,0.04538408,Trade,2021-02-15 21:01:06
108,GUSD,-10.0,Trade,2021-02-15 20:31:06
109,PAXG,0.00538772,Trade,2021-02-15 20:31:06
110,PAX,-10.0,Trade,2021-02-15 20:29:06
111,BTC,0.00020319,Trade,2021-02-15 20:29:06
112,USDC,-10.0,Trade,2021-02-07 08:53:22
113,PAX,10.0,Trade,2021-02-07 08:53:22
114,USDC,-10.0,Trade,2021-02-07 08:52:52
115,GUSD,10.0,Trade,2021-02-07 08:52:52
116,USDC,-10.0,Trade,2021-02-07 08:52:26
117,USDT,9.895405,Trade,2021-02-07 08:52:26
118,USDT,-7.059655,Trade,2021-02-07 08:51:42
119,PAX,7.0,Trade,2021-02-07 08:51:42
120,USDC,50.0,Deposit,2021-02-02 18:06:48
121,USDT,7.04435244,Interest Payment,2021-01-31 23:59:59
122,USDC,-10.0,Trade,2021-01-15 22:05:01
123,LTC,0.070184,Trade,2021-01-15 22:05:01
124,USDC,-10.0,Trade,2021-01-15 19:25:38
125,ETH,0.00855847,Trade,2021-01-15 19:25:38
126,GUSD,-10.0,Trade,2021-01-15 19:14:38
127,PAXG,0.00535152,Trade,2021-01-15 19:14:38
128,PAX,-10.0,Trade,2021-01-15 17:16:38
129,BTC,0.00027667,Trade,2021-01-15 17:16:38
130,USDT,-26.0,Withdrawal,2021-01-05 18:59:47
131,PAX,-10.0,Trade,2021-01-01 21:56:29
132,BTC,0.00033819,Trade,2021-01-01 21:56:29
133,USDC,-10.0,Trade,2021-01-01 19:55:28
134,ETH,0.01359679,Trade,2021-01-01 19:55:28
135,GUSD,-10.0,Trade,2021-01-01 19:18:09
136,PAXG,0.00510088,Trade,2021-01-01 19:18:09
137,USDC,-10.0,Trade,2021-01-01 18:22:31
138,LTC,0.07899306,Trade,2021-01-01 18:22:31
139,USDT,5.59559652,Interest Payment,2020-12-31 23:59:59
140,USDC,-30.0,Trade,2020-12-25 10:15:13
141,GUSD,30.0,Trade,2020-12-25 10:15:13
142,USDC,-30.0,Trade,2020-12-25 10:14:04
143,PAX,30.0,Trade,2020-12-25 10:14:04
144,USDC,100.0,Deposit,2020-12-25 10:02:24
145,PAX,-40.0,Trade,2020-12-19 07:26:06
146,USDC,40.0,Trade,2020-12-19 07:26:06
147,GUSD,-10.0,Trade,2020-12-19 07:24:29
148,PAXG,0.00521507,Trade,2020-12-19 07:24:29
149,USDC,-10.0,Trade,2020-12-19 07:22:55
150,LTC,0.09272326,Trade,2020-12-19 07:22:55
151,USDC,-10.0,Trade,2020-12-19 07:20:32
152,ETH,0.01520653,Trade,2020-12-19 07:20:32
153,USDC,-10.0,Trade,2020-12-17 12:29:01
154,USDT,9.907083,Trade,2020-12-17 12:29:01
155,USDC,-10.0,Trade,2020-12-17 12:27:44
156,GUSD,10.0,Trade,2020-12-17 12:27:44
157,USDC,-40.0,Trade,2020-12-17 12:26:41
158,PAX,40.0,Trade,2020-12-17 12:26:41
159,USDC,100.0,Deposit,2020-12-17 10:48:50
160,BTC,1.59e-05,Bonus Payment,2020-12-15 23:59:59
161,USDC,-10.0,Trade,2020-12-15 22:51:00
162,ETH,0.01683717,Trade,2020-12-15 22:51:00
163,USDC,-10.0,Trade,2020-12-15 21:05:13
164,LTC,0.11999746,Trade,2020-12-15 21:05:13
165,PAX,-10.0,Trade,2020-12-15 15:22:35
166,BTC,0.00051062,Trade,2020-12-15 15:22:35
167,GUSD,-10.0,Trade,2020-12-07 06:18:16
168,PAXG,0.00535429,Trade,2020-12-07 06:18:16
169,BTC,-0.015,Withdrawal,2020-12-02 20:30:49
170,PAX,-10.0,Trade,2020-12-01 20:29:49
171,BTC,0.00052132,Trade,2020-12-01 20:29:49
172,USDT,-160.0,Withdrawal,2020-12-01 17:10:17
173,USDT,7.43827896,Interest Payment,2020-12-01 04:59:59
174,LTC,-0.0025,Withdrawal Fee,2020-11-30 19:37:01
175,LTC,-2.0,Withdrawal,2020-11-30 19:37:01
176,ETH,-0.0015,Withdrawal Fee,2020-11-30 19:35:25
177,ETH,-0.3,Withdrawal,2020-11-30 19:35:25
178,USDC,-10.0,Trade,2020-11-16 00:47:32
179,ETH,0.02203452,Trade,2020-11-16 00:47:32
180,GUSD,-10.0,Trade,2020-11-15 20:42:02
181,PAXG,0.00521269,Trade,2020-11-15 20:42:02
182,USDC,-10.0,Trade,2020-11-15 16:45:35
183,LTC,0.15811227,Trade,2020-11-15 16:45:35
184,PAX,-10.0,Trade,2020-11-15 16:27:31
185,BTC,0.00061928,Trade,2020-11-15 16:27:31
186,PAX,-50.69,Trade,2020-11-14 10:53:41
187,USDT,50.34136,Trade,2020-11-14 10:53:41
188,USDC,-10.0,Trade,2020-11-14 10:52:28
189,GUSD,10.0,Trade,2020-11-14 10:52:28
190,USDC,-3.52,Trade,2020-11-14 10:51:28
191,USDT,3.495825,Trade,2020-11-14 10:51:28
