,Date,Type,Currency,Amount,USD,Loan,Details
0,2021-04-18 11:10:31+00:00,TransferOut,BCH,-0.17,150.82,3342.27,approved / Transfer from Savings Wallet to Credit Line Wallet
1,2021-04-18 11:09:17+00:00,TransferIn,BCH,0.17,150.82,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
2,2021-04-18 11:08:19+00:00,LockingTermDeposit,XLM,-287.0,146.59,3342.27,approved / Transfer from Savings Wallet to Term Wallet
3,2021-04-18 11:08:05+00:00,TransferIn,XLM,287.0,146.59,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
4,2021-04-18 11:07:05+00:00,LockingTermDeposit,EOS,-15.938,103.12,3342.27,approved / Transfer from Savings Wallet to Term Wallet
5,2021-04-18 11:06:40+00:00,TransferIn,EOS,15.93805458,103.34,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
6,2021-04-18 11:05:37+00:00,TransferOut,BCH,-0.17581209,155.33,3342.27,approved / Transfer from Savings Wallet to Credit Line Wallet
7,2021-04-18 11:02:18+00:00,TransferIn,BCH,0.17581209,154.68,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
8,2021-04-18 10:59:39+00:00,ExchangeSell,EUR,-0.001,55.08,3342.27,approved / Exchange Bitcoin to EUR
9,2021-04-18 10:58:43+00:00,TransferOut,PAX,-42.73779242,42.66,3342.27,approved / Transfer from Savings Wallet to Credit Line Wallet
10,2021-04-18 10:58:14+00:00,ExchangeSell,PAX,-0.02,42.99,3342.27,approved / Exchange Ether to Paxos Standard
11,2021-04-18 10:52:24+00:00,TransferOut,NEXO,-3.94223777,13.42,3342.27,approved / Transfer from Savings Wallet to Credit Line Wallet
12,2021-04-18 10:50:32+00:00,TransferOut,USDC,-149.820429,153.75,3342.27,approved / Transfer from Savings Wallet to Credit Line Wallet
13,2021-04-18 10:49:55+00:00,ExchangeSell,USDC,-0.07,155.19,3342.27,approved / Exchange Ether to USD Coin
14,2021-04-18 10:48:56+00:00,ExchangeSell,EUR,-0.08,177.67,3342.27,approved / Exchange Ether to EUR
15,2021-04-18 10:46:42+00:00,ExchangeSell,ETH,-100.0,350.89,3342.27,approved / Exchange NEXO Token to Ether
16,2021-04-18 10:45:38+00:00,TransferIn,NEXO,100.0,350.87,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
17,2021-04-18 10:43:50+00:00,ExchangeSell,ETH,-50.0,175.46,3342.27,approved / Exchange NEXO Token to Ether
18,2021-04-18 10:43:12+00:00,TransferIn,NEXO,50.0,175.53,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
19,2021-04-18 10:42:29+00:00,ExchangeSell,BTC,-50.0,175.78,3342.27,approved / Exchange NEXO Token to Bitcoin
20,2021-04-18 10:41:18+00:00,TransferIn,NEXO,50.0,175.37,3342.27,approved / Transfer from Credit Line Wallet to Savings Wallet
21,2021-04-18 01:00:02+00:00,Interest,NEXO,0.06694463,0.25,3342.27,approved / 0.00000403 BTC
22,2021-04-18 01:00:02+00:00,Interest,NEXO,0.04711537,0.18,3342.27,approved / 0.00007234 ETH
23,2021-04-18 01:00:02+00:00,Interest,NEXO,0.08022808,0.3,3342.27,approved / 0.24709328 EURx
24,2021-04-18 00:00:02+00:00,Interest,USD,-0.55,0.55,3342.27,approved / Interest
25,2021-04-17 01:00:03+00:00,Interest,NEXO,0.06678525,0.25,3341.72,approved / 0.00000403 BTC
26,2021-04-17 01:00:03+00:00,Interest,NEXO,0.04715652,0.18,3341.72,approved / 0.00007234 ETH
27,2021-04-17 01:00:03+00:00,Interest,NEXO,0.07951962,0.3,3341.72,approved / 0.24709328 EURx
28,2021-04-17 00:00:02+00:00,Interest,USD,-0.55,0.55,3341.72,approved / Interest
29,2021-04-16 06:03:36+00:00,TransferOut,USDT,-56.098356,56.15,3341.17,approved / Transfer from Savings Wallet to Credit Line Wallet
30,2021-04-16 06:00:39+00:00,Repayment,USD,50.05375,50.06,3341.17,approved / Crypto Repayment
31,2021-04-16 06:00:30+00:00,Liquidation,USDT,-50.0,50.06,3391.22,approved / Crypto Repayment
32,2021-04-16 05:56:41+00:00,TransferOut,XLM,-5.0,3.15,3391.22,approved / Transfer from Savings Wallet to Credit Line Wallet
33,2021-04-16 05:56:05+00:00,ExchangeSell,USDT,-90.0,56.67,3391.22,approved / Exchange Stellar to Tether
34,2021-04-16 05:54:09+00:00,Deposit,XLM,95.0,59.54,3391.22,approved / d767080b23147b6a15acddae5546bcc3593e27e6d3b0e5bf1a601c1f81413462
