Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
NXTx1hHFv3LCT,Interest,NEXONEXO,0.09420086,$0.26028008480838,approved / 0.22127317 EURx,$3488.49,2021-04-05 01:00:03
NXTAXFw7FXTT0,Interest,NEXONEXO,0.05454228,$0.15070211953524,approved / 0.00007234 ETH,$3488.49,2021-04-05 01:00:03
NXThKvQuIYaXP,Interest,NEXONEXO,0.02257274,$0.06236922552042,approved / 0.04511758 GBPx,$3488.49,2021-04-05 01:00:03
NXT3tJg8TIqBP,Interest,NEXONEXO,0.08549178,$0.23621660936874,approved / 0.00000403 BTC,$3488.49,2021-04-05 01:00:03
NXTgQVAbnHMUa,Interest,USD,-0.57000000,$0.57,approved / Interest,$3488.49,2021-04-05 00:00:02
NXTkP2gZEBd8O,Interest,NEXONEXO,0.09632920,$0.2602017378224,approved / 0.22127317 EURx,$3487.92,2021-04-04 01:00:03
NXTBjTbMDRhRF,Interest,NEXONEXO,0.05498810,$0.1485323160532,approved / 0.00007234 ETH,$3487.92,2021-04-04 01:00:03
NXTLHYwTqTKkx,Interest,NEXONEXO,0.02310020,$0.0623976134344,approved / 0.04511758 GBPx,$3487.92,2021-04-04 01:00:03
NXTDYYSgu231l,Interest,NEXONEXO,0.08673568,$0.23428799021696,approved / 0.00000403 BTC,$3487.92,2021-04-04 01:00:03
NXTwZU2frIdyy,Interest,USD,-0.57000000,$0.57,approved / Interest,$3487.92,2021-04-04 00:00:02
NXTnQBTR1H5l7,Interest,NEXONEXO,0.02210659,$0.0623998294612,approved / 0.04511758 GBPx,$3487.35,2021-04-03 01:00:03
NXTfPbNn459n1,Interest,NEXONEXO,0.09219193,$0.2602283169724,approved / 0.22127317 EURx,$3487.35,2021-04-03 01:00:03
NXTNhoWQIWLMz,Interest,NEXONEXO,0.05434973,$0.1534118958764,approved / 0.00007234 ETH,$3487.35,2021-04-03 01:00:03
NXTdf5EkyAQlc,Interest,NEXONEXO,0.08465832,$0.2389633466976,approved / 0.00000403 BTC,$3487.35,2021-04-03 01:00:03
NXTx7q2CLcpyG,Interest,USD,-0.57000000,$0.57,approved / Interest,$3487.35,2021-04-03 00:00:02
NXTO4U754dBja,Interest,NEXONEXO,0.09397350,$0.260671963968,approved / 0.22127317 EURx,$3486.78,2021-04-02 01:00:03
NXT6CV5FA7ofz,Interest,NEXONEXO,0.02250524,$0.06242701517312,approved / 0.04511758 GBPx,$3486.78,2021-04-02 01:00:03
NXTgt5BTJvo86,Interest,NEXONEXO,0.05158988,$0.14310454905344,approved / 0.00007234 ETH,$3486.78,2021-04-02 01:00:03
NXTnnWJR9Jm9G,Interest,NEXONEXO,0.08620456,$0.23912179452928,approved / 0.00000403 BTC,$3486.78,2021-04-02 01:00:03
NXTbaUYyv6BlK,Interest,USD,-0.57000000,$0.57,approved / Interest,$3486.78,2021-04-02 00:00:02
NXTu9rXTqZI94,TransferOut,NEXO,-0.50169487,$1.393422884479,approved / Transfer from Savings Wallet to Credit Line Wallet,$3486.21,2021-04-01 04:30:03
NXTp0eyqDQCgo,Interest,NEXONEXO,0.09402468,$0.2594620447068,approved / 0.22127317 EURx,$3486.21,2021-04-01 01:00:02
NXTKvCPVYiNU4,Interest,NEXONEXO,0.02253753,$0.0621925394103,approved / 0.04511758 GBPx,$3486.21,2021-04-01 01:00:02
